00:07:13.933, Connected as slave
01:26:37.505, -10 dBm, 22
01:26:37.630, -10 dBm, 22
01:26:37.636, -11 dBm, 29
01:26:37.641, -11 dBm, 29
01:26:37.647, -11 dBm, 29
01:26:37.758, -11 dBm, 29
01:26:37.763, -11 dBm, 29
01:26:37.887, -11 dBm, 29
01:26:37.895, -11 dBm, 27
01:26:37.900, -11 dBm, 27
01:26:37.906, -11 dBm, 27
01:26:38.015, -11 dBm, 27
01:26:38.019, -11 dBm, 27
01:26:38.145, -11 dBm, 27
01:26:38.150, -12 dBm, 29
01:26:38.155, -12 dBm, 29
01:26:38.160, -12 dBm, 29
01:26:38.273, -12 dBm, 29
01:26:38.278, -12 dBm, 29
01:26:38.402, -12 dBm, 29
01:26:38.407, -11 dBm, 30
01:26:38.412, -11 dBm, 30
01:26:38.417, -11 dBm, 30
01:26:38.529, -11 dBm, 30
01:26:38.534, -11 dBm, 30
01:26:38.660, -11 dBm, 30
01:26:38.665, -11 dBm, 30
01:26:38.671, -11 dBm, 30
01:26:38.676, -11 dBm, 30
01:26:38.787, -11 dBm, 30
01:26:38.792, -11 dBm, 30
01:26:38.917, -11 dBm, 30
01:26:38.923, -11 dBm, 26
01:26:38.928, -11 dBm, 26
01:26:38.933, -11 dBm, 26
01:26:39.045, -11 dBm, 26
01:26:39.051, -11 dBm, 26
01:26:39.174, -11 dBm, 26
01:26:39.179, -10 dBm, 26
01:26:39.184, -10 dBm, 26
01:26:39.191, -10 dBm, 26
01:26:39.302, -10 dBm, 26
01:26:39.307, -10 dBm, 26
01:26:39.432, -10 dBm, 26
01:26:39.438, -11 dBm, 28
01:26:39.443, -11 dBm, 28
01:26:39.448, -11 dBm, 28
01:26:39.559, -11 dBm, 28
01:26:39.564, -11 dBm, 28
01:26:39.690, -11 dBm, 28
01:26:39.697, -11 dBm, 28
01:26:39.702, -11 dBm, 28
01:26:39.707, -11 dBm, 28
01:26:39.817, -11 dBm, 28
01:26:39.822, -11 dBm, 28
01:26:39.948, -11 dBm, 28
01:26:39.956, -11 dBm, 27
01:26:39.967, -11 dBm, 27
01:26:39.976, -11 dBm, 27
01:26:40.075, -11 dBm, 27
01:26:40.095, -11 dBm, 27
01:26:40.210, -11 dBm, 27
01:26:40.215, -11 dBm, 30
01:26:40.221, -11 dBm, 30
01:26:40.232, -11 dBm, 30
01:26:40.331, -11 dBm, 30
01:26:40.337, -11 dBm, 30
01:26:40.463, -11 dBm, 30
01:26:40.470, -10 dBm, 29
01:26:40.476, -10 dBm, 29
01:26:40.481, -10 dBm, 29
01:26:40.590, -10 dBm, 29
01:26:40.600, -10 dBm, 29
01:26:40.719, -10 dBm, 29
01:26:40.725, -9 dBm, 27
01:26:40.730, -9 dBm, 27
01:26:40.735, -9 dBm, 27
01:26:40.846, -9 dBm, 27
01:26:40.851, -9 dBm, 27
01:26:40.976, -9 dBm, 27
01:26:40.985, -11 dBm, 24
01:26:40.990, -11 dBm, 24
01:26:40.995, -11 dBm, 24
01:26:41.104, -11 dBm, 24
01:26:41.109, -11 dBm, 24
01:26:41.234, -11 dBm, 24
01:26:41.243, -12 dBm, 25
01:26:41.248, -12 dBm, 25
01:26:41.253, -12 dBm, 25
01:26:41.360, -12 dBm, 25
01:26:41.366, -12 dBm, 25
01:26:41.492, -12 dBm, 25
01:26:41.497, -11 dBm, 24
01:26:41.503, -11 dBm, 24
01:26:41.508, -11 dBm, 24
01:26:41.618, -11 dBm, 24
01:26:41.623, -11 dBm, 24
01:26:41.748, -11 dBm, 24
01:26:41.754, -11 dBm, 24
01:26:41.759, -11 dBm, 24
01:26:41.765, -11 dBm, 24
01:26:41.876, -11 dBm, 24
01:26:41.882, -11 dBm, 24
01:26:42.005, -11 dBm, 24
01:26:42.011, -11 dBm, 27
01:26:42.017, -11 dBm, 27
01:26:42.022, -11 dBm, 27
01:26:42.133, -11 dBm, 27
01:26:42.138, -11 dBm, 27
01:26:42.263, -11 dBm, 27
01:26:42.270, -11 dBm, 24
01:26:42.282, -11 dBm, 24
01:26:42.287, -11 dBm, 24
01:26:42.391, -11 dBm, 24
01:26:42.396, -11 dBm, 24
01:26:42.520, -11 dBm, 24
01:26:42.526, -10 dBm, 25
01:26:42.532, -10 dBm, 25
01:26:42.537, -10 dBm, 25
01:26:42.647, -10 dBm, 25
01:26:42.653, -10 dBm, 25
01:26:42.777, -10 dBm, 25
01:26:42.783, -11 dBm, 30
01:26:42.788, -11 dBm, 30
01:26:42.794, -11 dBm, 30
01:26:42.905, -11 dBm, 30
01:26:42.911, -11 dBm, 30
01:26:43.038, -11 dBm, 30
01:26:43.045, -11 dBm, 26
01:26:43.050, -11 dBm, 26
01:26:43.055, -11 dBm, 26
01:26:43.162, -11 dBm, 26
01:26:43.166, -11 dBm, 26
01:26:43.292, -11 dBm, 26
01:26:43.299, -11 dBm, 29
01:26:43.311, -11 dBm, 29
01:26:43.317, -11 dBm, 29
01:26:43.418, -11 dBm, 29
01:26:43.424, -11 dBm, 29
01:26:43.548, -11 dBm, 29
01:26:43.554, -11 dBm, 26
01:26:43.560, -11 dBm, 26
01:26:43.565, -11 dBm, 26
01:26:43.675, -11 dBm, 26
01:26:43.681, -11 dBm, 26
01:26:43.805, -11 dBm, 26
01:26:43.811, -9 dBm, 28
