13:18:54.800, Log started,
13:19:00.823, Log finished,
13:19:29.527, Log started,
13:19:29.599, Direct device beacon 2,
13:19:44.124, Log finished,
13:19:49.675, Log started,
13:19:54.354, Direct device master,
13:22:33.476, Radio device beacon 1,
13:32:31.491, Log finished,
13:32:37.197, Log started,
13:32:37.268, Direct device master,
13:32:59.047, Radio device beacon 1,
13:58:18.915, Beacon 1-5, 26,
13:58:21.348, Beacon 1-5, 26,
13:58:23.783, Beacon 1-5, 26,
13:58:26.217, Beacon 1-5, 25,
13:58:28.652, Beacon 1-3, 26,
13:58:31.086, Beacon 1-5, 25,
13:58:33.521, Beacon 1-5, 26,
13:58:35.956, Beacon 1-15, 26,
13:58:38.392, Beacon 1-5, 25,
13:58:40.826, Beacon 1-15, 27,
13:58:43.262, Beacon 1-16, 25,
13:58:45.696, Beacon 1-5, 26,
13:58:48.131, Beacon 1-5, 25,
13:58:50.566, Beacon 1-5, 25,
13:58:53.001, Beacon 1-5, 26,
13:58:55.435, Beacon 1-15, 26,
13:59:00.306, Beacon 1-5, 26,
13:59:02.741, Beacon 1-15, 23,
13:59:05.177, Beacon 1-5, 25,
13:59:10.046, Beacon 1-5, 25,
13:59:12.480, Beacon 1-15, 24,
13:59:14.916, Beacon 1-5, 26,
13:59:17.351, Beacon 1-5, 27,
13:59:19.785, Beacon 1-5, 26,
13:59:22.219, Beacon 1-5, 25,
13:59:24.654, Beacon 1-5, 26,
13:59:27.087, Beacon 1-15, 26,
13:59:29.523, Beacon 1-15, 24,
13:59:31.959, Beacon 1-15, 25,
13:59:34.397, Beacon 1-15, 25,
13:59:36.829, Beacon 1-16, 25,
13:59:39.266, Beacon 1-5, 24,
13:59:41.699, Beacon 1-5, 24,
13:59:44.135, Beacon 1-15, 27,
13:59:46.570, Beacon 1-5, 27,
13:59:49.005, Beacon 1-5, 26,
13:59:51.439, Beacon 1-5, 26,
13:59:53.873, Beacon 1-5, 26,
13:59:56.309, Beacon 1-15, 26,
14:00:01.179, Beacon 1-5, 26,
14:00:03.614, Beacon 1-5, 26,
14:00:06.047, Beacon 1-5, 26,
14:00:10.917, Beacon 1-15, 25,
14:00:13.353, Beacon 1-5, 25,
14:00:15.788, Beacon 1-15, 26,
14:00:18.223, Beacon 1-5, 26,
14:00:20.657, Beacon 1-15, 26,
14:00:23.092, Beacon 1-15, 27,
14:00:25.528, Beacon 1-5, 27,
14:00:27.963, Beacon 1-5, 25,
14:00:30.398, Beacon 1-5, 26,
