21:11:25.325, error
21:15:26.042, -11, 29
21:15:26.299, -11, 29
21:15:26.556, -11, 29
21:15:26.813, -11, 29
21:15:27.069, -11, 31
21:15:27.326, -11, 28
21:15:27.587, -11, 30
21:15:27.840, -11, 30
21:15:28.097, -11, 27
21:15:28.355, -11, 29
21:15:28.611, -11, 30
21:15:28.868, -11, 27
21:15:29.125, -11, 29
21:15:29.382, -11, 28
21:15:29.641, -11, 29
21:15:29.896, -11, 30
21:15:30.152, -11, 27
21:15:30.409, -11, 29
21:15:30.666, -11, 29
21:15:30.923, -11, 30
21:15:31.180, -11, 29
21:15:31.440, -11, 29
21:15:31.693, -12, 27
21:15:31.950, -11, 27
21:15:32.208, -11, 29
21:15:32.464, -11, 29
21:15:32.721, -11, 27
21:15:32.979, -12, 30
21:15:33.234, -11, 29
21:15:33.493, -11, 28
21:15:33.748, -11, 29
21:15:34.005, -11, 29
21:15:34.263, -11, 27
21:15:34.520, -11, 28
21:15:34.780, -11, 27
21:15:35.035, -12, 28
21:15:35.293, -12, 28
21:15:35.549, -12, 28
21:15:35.805, -12, 28
21:15:36.064, -12, 30
21:15:36.319, -12, 28
21:15:36.577, -12, 30
21:15:36.835, -11, 28
21:15:37.092, -12, 26
21:15:37.349, -12, 29
21:15:37.606, -11, 29
21:15:37.866, -12, 27
21:15:38.119, -11, 29
21:15:38.378, -12, 27
21:15:38.634, -12, 28
21:15:38.891, -12, 29
21:15:39.149, -12, 29
21:15:39.405, -11, 29
21:15:39.662, -12, 29
21:15:39.919, -11, 28
21:15:40.184, -12, 26
21:15:40.435, -12, 28
21:15:40.691, -11, 29
21:15:40.951, -12, 28
